N,h,degree,m,n,k_mag,omega_exact,theta,dt,cfl,E0,ET,ET_over_E0,phase_error_proxy
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.5,0.1,2.313669664866373,3.548839539719777,3.548839539720194,1.000000000000117,1.172395514004165e-13
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.5,0.05,1.156834832433186,3.548839539719777,3.548839539720078,1.000000000000085,8.482103908136196e-14
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.5,0.025,0.5784174162165931,3.548839539719777,3.548839539719912,1.000000000000038,3.796962744218035e-14
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.5,0.0125,0.2892087081082966,3.548839539719777,3.548839539720261,1.000000000000136,1.363353874239692e-13
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.75,0.1,2.313669664866373,3.548839539719777,1.845254623385558,0.5199600045966752,0.4800399954033248
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.75,0.05,1.156834832433186,3.548839539719777,2.425229771827117,0.6833867084389555,0.3166132915610445
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.75,0.025,0.5784174162165931,3.548839539719777,2.863641969044769,0.8069234849854292,0.1930765150145708
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,0.75,0.0125,0.2892087081082966,3.548839539719777,3.148999856082094,0.887332273222684,0.112667726777316
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,1,0.1,2.313669664866373,3.548839539719777,1.113025928316544,0.3136309534029905,0.6863690465970096
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,1,0.05,1.156834832433186,3.548839539719777,1.789869323681062,0.5043534100790572,0.4956465899209428
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,1,0.025,0.5784174162165931,3.548839539719777,2.411393544702095,0.679487905190693,0.320512094809307
20,0.04322138182408834,1,1,1,4.442882938158366,4.442882938158366,1,0.0125,0.2892087081082966,3.548839539719777,2.860363490518459,0.8059996679208321,0.1940003320791679
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.5,0.1,2.313669664866373,14.02242192485216,14.02242192485139,0.9999999999999449,5.506706202140776e-14
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.5,0.05,1.156834832433186,14.02242192485216,14.02242192485215,0.9999999999999993,6.661338147750939e-16
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.5,0.025,0.5784174162165931,14.02242192485216,14.0224219248567,1.000000000000324,3.237410339806956e-13
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.5,0.0125,0.2892087081082966,14.02242192485216,14.02242192485371,1.000000000000111,1.108002578575906e-13
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.75,0.1,2.313669664866373,14.02242192485216,2.506224569126652,0.1787297930812387,0.8212702069187613
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.75,0.05,1.156834832433186,14.02242192485216,4.924818569175545,0.3512102684948605,0.6487897315051395
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.75,0.025,0.5784174162165931,14.02242192485216,7.910785764399088,0.5641525983738001,0.4358474016261999
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,0.75,0.0125,0.2892087081082966,14.02242192485216,10.3587976853476,0.7387309938940393,0.2612690061059607
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,1,0.1,2.313669664866373,14.02242192485216,0.6761004108085,0.04821566591219428,0.9517843340878057
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,1,0.05,1.156834832433186,14.02242192485216,2.012363725461977,0.1435104246788804,0.8564895753211196
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,1,0.025,0.5784174162165931,14.02242192485216,4.734598575919008,0.3376448520300052,0.6623551479699948
20,0.04322138182408834,1,2,2,8.885765876316732,8.885765876316732,1,0.0125,0.2892087081082966,14.02242192485216,7.862721067064725,0.5607248953998097,0.4392751046001903
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.5,0.1,2.313669664866373,53.53843996572258,53.53843996574079,1.00000000000034,3.40172334745148e-13
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.5,0.05,1.156834832433186,53.53843996572258,53.53843996571865,0.9999999999999266,7.338574192772285e-14
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.5,0.025,0.5784174162165931,53.53843996572258,53.53843996571774,0.9999999999999095,9.048317650695026e-14
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.5,0.0125,0.2892087081082966,53.53843996572258,53.53843996572708,1.000000000000084,8.393286066166183e-14
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.75,0.1,2.313669664866373,53.53843996572258,0.7022094513634376,0.01311598641673197,0.986884013583268
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.75,0.05,1.156834832433186,53.53843996572258,1.897366679011761,0.03543933443384846,0.9645606655661515
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.75,0.025,0.5784174162165931,53.53843996572258,7.33330444446109,0.1369726956772771,0.8630273043227229
20,0.04322138182408834,1,4,4,17.77153175263346,17.77153175263346,0.75,0.0125,0.2892087081082966,53.53843996572258,18.55380074184011,0.3465510155641252,0.6534489844358748
