step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.25,6.433572767318893,0.16375191755803
20,0.5,1.053512684503941,0.02681476195242001
30,0.75,0.1725151821798491,0.004390980394801046
40,1,0.02824976725590319,0.0007190333778800174
50,1.25,0.004625965917603309,0.0001177434089832043
60,1.5,0.0007575128205706128,1.928076069541738e-05
70,1.75,0.0001240445130465815,3.157270090596141e-06
80,2,2.031258388756596e-05,5.17010482735774e-07
90,2.25,3.326235133975371e-06,8.466172702735203e-08
100,2.5,5.446799520721147e-07,1.386358557414661e-08
110,2.75,8.919341469379605e-08,2.270214889594598e-09
120,3,1.460622139867099e-08,3.717680437935351e-10
130,3.25,2.392261387537628e-09,6.088955603319795e-11
140,3.5,3.921053406025902e-10,9.980146915347082e-12
150,3.75,6.450858398469041e-11,1.641918838643748e-12
160,4,1.081352293645664e-11,2.752335569121798e-13
170,4.25,1.981601340743318e-12,5.04371414015278e-14
180,4.5,5.040039321495041e-13,1.282827028327256e-14
190,4.75,2.364981253983431e-13,6.019520246912059e-15
200,5,1.71556160575393e-13,4.366570687723979e-15
210,5.25,1.432158932668437e-13,3.645233837466189e-15
220,5.5,1.235968278357339e-13,3.14587528488087e-15
230,5.75,1.076122657662682e-13,2.739024723790354e-15
240,6,9.403584318075588e-14,2.393467859453794e-15
250,6.25,8.235903787746506e-14,2.096261419343459e-15
260,6.5,7.225742676682534e-14,1.839147953837091e-15
270,6.75,6.348377841966335e-14,1.615834750926612e-15
280,7,5.583923906500674e-14,1.421260441527059e-15
290,7.25,4.916224220220867e-14,1.251312718954274e-15
300,7.5,4.331766389752797e-14,1.102552311739922e-15
310,7.75,3.819291492770162e-14,9.721135180613166e-16
320,8,3.369279760141607e-14,8.575732978653666e-16
330,8.25,2.973638156747431e-14,7.568717536928444e-16
340,8.5,2.625429302281582e-14,6.682431336528008e-16
350,8.75,2.31874530029915e-14,5.901837174850056e-16
360,9,2.048409110810664e-14,5.213758077665637e-16
370,9.25,1.809977033138428e-14,4.606883618663523e-16
380,9.5,1.599598747763373e-14,4.071413687900741e-16
390,9.75,1.41388323071026e-14,3.598717207459722e-16
400,10,1.249888559609885e-14,3.181306185105248e-16
