step,time,energy,E_over_E0
0,0,2.466656848314646,1
10,0.5,1.523532823879821,0.6176509006191034
20,1,0.9410115360017405,0.3814926817423714
30,1.5,0.5812166938641536,0.2356293273064198
40,2,0.3589890583719971,0.1455366840415106
50,2.5,0.2217299423628498,0.08989087497693396
60,3,0.1369517153620024,0.05552118668455048
70,3.5,0.08458836069105437,0.03429271515770413
80,4,0.05224608355935365,0.02118092899506917
90,4.5,0.03226984451514069,0.01308242147147026
100,5,0.01993150096788323,0.008080370393434138
110,5.5,0.01231071103073761,0.004990848661883779
120,6,0.007603722686341139,0.003082602548277606
130,6.5,0.004696446740275329,0.001903972473302963
140,7,0.002900764913989295,0.001175990456869287
150,7.5,0.001791660280967646,0.0007263516537340023
160,8,0.001106620721629742,0.0004486318080222002
170,8.5,0.0006835053690418055,0.0002770978741971399
180,9,0.0004221677584538165,0.000171149772511837
190,9.5,0.0002607523281459678,0.0001057108240751558
200,10,0.0001610539300361586,6.529239368913409e-05
