step,time,energy,E_over_E0
0,0,2.466656848314646,1
10,0.25,2.319604951018472,0.9403841286652221
20,0.5,2.181319947717522,0.8843224176917505
30,0.75,2.051278909481522,0.8316028680207656
40,1,1.928990366081589,0.7820262341718021
50,1.25,1.813992146673793,0.7354051488407117
60,1.5,1.705849633079837,0.6915634147673867
70,1.75,1.604154117213054,0.6503353388247333
80,2,1.508521256428537,0.6115651058067687
90,2.25,1.418589620958844,0.5751061895488631
100,2.5,1.334019327945447,0.5408207991544997
110,2.75,1.254490756903467,0.5085793582356635
120,3,1.179703341764941,0.4782600151987003
130,3.25,1.109374434935338,0.4497481827248581
140,3.5,1.043238239070224,0.4229361047050468
150,3.75,0.9810448025348534,0.397722448992107
160,4,0.922559074750205,0.3740119244314617
170,4.25,0.8675600178552741,0.3517149207227743
180,4.5,0.8158397713282919,0.3307471697515273
190,4.75,0.7672028664096842,0.3110294271105763
200,5,0.7214654873577951,0.292487172608034
210,5.25,0.6784547767454155,0.2750503286296075
220,5.5,0.6380081821715694,0.2586529952909709
230,5.75,0.5999728419195967,0.2432332013792395
240,6,0.564205007239669,0.2287326701422472
250,6.25,0.5305694990723852,0.2150965990404782
260,6.5,0.4989391971601945,0.2022734526292528
270,6.75,0.469194559615833,0.1902147677883983
280,7,0.441223171132041,0.1788749705632985
290,7.25,0.4149193181251138,0.1682112039251058
300,7.5,0.390183589206582,0.1581831657991571
310,7.75,0.3669224994730763,0.1487529567494472
320,8,0.3450481371944343,0.1398849367435077
330,8.25,0.3244778315647706,0.1315455904563586
340,8.5,0.3051338402608081,0.1237034006044627
350,8.75,0.2869430556266607,0.1163287288309745
360,9,0.2698367283746355,0.1093937036921056
370,9.25,0.2537502077578133,0.1028721153212654
380,9.5,0.2386226972324422,0.0967393163728802
390,9.75,0.2243970246867024,0.09097212887152205
400,10,0.2110194263674532,0.0855487566142948
