step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.25,15.43156935966071,0.3927753932325934
20,0.5,6.061156860699233,0.1542729202662195
30,0.75,2.380679610078455,0.06059476831006783
40,1,0.9350748608768285,0.02380019735017308
50,1.25,0.3672753746718318,0.009348156778433361
60,1.5,0.1442571140989526,0.003671735738357915
70,1.75,0.05666079572593308,0.001442171292072288
80,2,0.02225502565201995,0.0005664509064595737
90,2.25,0.008741249765343887,0.0002224885709228182
100,2.5,0.00343335697719033,8.73882691639245e-05
110,2.75,0.001348541740039538,3.432405349641257e-05
120,3,0.0005296754302889515,1.348167970272858e-05
130,3.25,0.0002080440343785911,5.295286273757378e-06
140,3.5,8.171479841588344e-05,2.079863773584879e-06
150,3.75,3.209564998902487e-05,8.16921549045359e-07
160,4,1.260641693312982e-05,3.20867583377985e-07
170,4.25,4.951504952988557e-06,1.260292624603137e-07
180,4.5,1.944835591828908e-06,4.950135313846901e-08
190,4.75,7.638864966577171e-07,1.944298807962587e-08
200,5,3.000373610059057e-07,7.636766534039366e-09
210,5.25,1.178482313866811e-07,2.999557876833277e-09
220,5.5,4.62885424110332e-08,1.17816924668619e-09
230,5.75,1.818151033171841e-08,4.627688670972718e-10
240,6,7.141672120057936e-09,1.817749711592315e-10
250,6.25,2.805436192637577e-09,7.140597810049317e-11
260,6.5,1.102225420165279e-09,2.805463350785837e-11
270,6.75,4.332111970872272e-10,1.102640271529968e-11
280,7,1.704099954681839e-10,4.337397669724244e-12
290,7.25,6.716368349686328e-11,1.709498339513664e-12
300,7.5,2.658998777003169e-11,6.767874776058211e-13
310,7.75,1.063526612376558e-11,2.706964364113872e-13
320,8,4.352483643738018e-12,1.107825416108695e-13
330,8.25,1.870441717132113e-12,4.760782677656096e-14
340,8.5,8.827855211669866e-13,2.246929149816728e-14
350,8.75,4.83409354902961e-13,1.23040823029097e-14
360,9,3.162266578398425e-13,8.048828151487751e-15
370,9.25,2.412263354972874e-13,6.139866048276491e-15
380,9.5,2.032883771298137e-13,5.174241867810513e-15
390,9.75,1.806587526866318e-13,4.598256403713032e-15
400,10,1.647054084649045e-13,4.192200421717843e-15
