step,time,energy,E_over_E0
0,0,2.466656848314646,1
10,1,0.9726923243359695,0.3943362957034602
20,2,0.3835679349991842,0.1555011331475874
30,3,0.1512547771568492,0.06131974833069895
40,4,0.05964525583406677,0.02418060537071447
50,5,0.0235202921215656,0.009535291517195
60,6,0.009274906004641878,0.003760111995707468
70,7,0.003657432524661001,0.001482748817355749
80,8,0.00144225857014113,0.0005847017476819116
90,9,0.0005687349716283138,0.000230569149501644
100,10,0.0002242728694074642,9.092179544986145e-05
