step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.5,0.1141716046578786,0.002905977731125621
20,1,0.0003317810325642777,8.444729275118607e-06
30,1.5,9.641518337830389e-07,2.454028536073569e-08
40,2,2.802159933860173e-09,7.132258840760877e-11
50,2.5,8.319942887846385e-12,2.117651655047502e-13
60,3,1.246853987373943e-13,3.173582373770929e-15
70,3.5,6.006252851196343e-14,1.528754639596098e-15
80,4,3.635005981258201e-14,9.252078453042772e-16
90,4.5,2.223729354617169e-14,5.659995761583536e-16
100,5,1.366883271036098e-14,3.479089532447019e-16
110,5.5,8.422086821810346e-15,2.14365006317694e-16
120,6,5.195569949589744e-15,1.322413801510092e-16
130,6.5,3.207055417524933e-15,8.162827923580485e-17
140,7,1.980220047521683e-15,5.0401983733785e-17
150,7.5,1.222892207490195e-15,3.112593129598559e-17
160,8,7.552600760283578e-16,1.922342222239404e-17
170,8.5,4.664687483122334e-16,1.187289780960305e-17
180,9,2.881090536689686e-16,7.333158683426842e-18
190,9.5,1.779491099018981e-16,4.529288628272398e-18
200,10,1.099098378621176e-16,2.797504179923083e-18
