step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.25,39.28853391923776,0.9999999999999992
20,0.5,39.28853391923775,0.9999999999999989
30,0.75,39.2885339192376,0.9999999999999951
40,1,39.28853391923759,0.9999999999999949
50,1.25,39.28853391923755,0.9999999999999939
60,1.5,39.28853391923751,0.9999999999999928
70,1.75,39.28853391923749,0.9999999999999925
80,2,39.28853391923747,0.9999999999999917
90,2.25,39.28853391923742,0.9999999999999905
100,2.5,39.2885339192374,0.99999999999999
110,2.75,39.2885339192373,0.9999999999999873
120,3,39.28853391923725,0.9999999999999862
130,3.25,39.28853391923723,0.9999999999999857
140,3.5,39.28853391923718,0.9999999999999845
150,3.75,39.28853391923717,0.9999999999999841
160,4,39.28853391923714,0.9999999999999833
170,4.25,39.28853391923712,0.9999999999999828
180,4.5,39.2885339192371,0.9999999999999822
190,4.75,39.28853391923708,0.9999999999999819
200,5,39.28853391923704,0.9999999999999808
210,5.25,39.28853391923698,0.9999999999999793
220,5.5,39.28853391923697,0.999999999999979
230,5.75,39.28853391923692,0.9999999999999778
240,6,39.2885339192369,0.9999999999999772
250,6.25,39.28853391923688,0.9999999999999767
260,6.5,39.28853391923679,0.9999999999999745
270,6.75,39.28853391923676,0.9999999999999736
280,7,39.28853391923671,0.9999999999999725
290,7.25,39.28853391923667,0.9999999999999715
300,7.5,39.28853391923668,0.9999999999999716
310,7.75,39.28853391923657,0.9999999999999689
320,8,39.28853391923655,0.9999999999999684
330,8.25,39.28853391923651,0.9999999999999675
340,8.5,39.2885339192365,0.9999999999999671
350,8.75,39.28853391923646,0.999999999999966
360,9,39.28853391923639,0.9999999999999644
370,9.25,39.28853391923635,0.9999999999999633
380,9.5,39.28853391923631,0.9999999999999623
390,9.75,39.28853391923629,0.9999999999999617
400,10,39.28853391923623,0.9999999999999603
