step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.5,1.592000824909357,0.0405207490862831
20,1,0.06450923800823055,0.001641935485320905
30,1.5,0.0026139696372762,6.65326337360799e-05
40,2,0.0001059202950179521,2.695959468370181e-06
50,2.5,4.291982771933923e-06,1.092426299427868e-07
60,3,1.739156062231839e-07,4.426624993966125e-09
70,3.5,7.047675617890133e-09,1.793825046355117e-10
80,4,2.858878268407344e-10,7.276622421910945e-12
90,4.5,1.180396763387746e-11,3.004430671335792e-13
100,5,6.39600378251229e-13,1.62795684757798e-14
110,5.5,1.470654400971226e-13,3.743215269865578e-15
120,6,9.823538475803085e-14,2.500357609677298e-15
130,6.5,7.491143320467391e-14,1.906699632993768e-15
140,7,5.789461451036453e-14,1.473575334456962e-15
150,7.5,4.495343854312481e-14,1.14418722356838e-15
160,8,3.500987556877313e-14,8.910965128080384e-16
170,8.5,2.732218414312798e-14,6.954238658864681e-16
180,9,2.135348430118472e-14,5.435042281058214e-16
190,9.5,1.670561599215653e-14,4.252033437159272e-16
200,10,1.30786882555143e-14,3.32888172472892e-16
