step,time,energy,E_over_E0
0,0,9.857688472760223,1
10,1,0.403220202391687,0.04090413320586327
20,2,0.01649338127096539,0.001673148965555322
30,3,0.0006746478082437619,6.843874302865402e-05
40,4,2.759589788416938e-05,2.79942888846865e-06
50,5,1.128786859642975e-06,1.145082706521062e-07
60,6,4.617207184284549e-08,4.683863967747906e-09
70,7,1.888629591068101e-09,1.915894985205666e-10
80,8,7.725281043633004e-11,7.836807853058345e-12
90,9,3.15996597380203e-12,3.205585145578471e-13
100,10,1.292576732026482e-13,1.311237148139001e-14
