step,time,energy,E_over_E0
0,0,9.857688472760223,1
10,1,0.02910658420878536,0.002952678438684248
20,2,8.594242741683187e-05,8.718314405483273e-06
30,3,2.537604822821431e-07,2.57423921422715e-08
40,4,7.492735129755669e-10,7.600904766325659e-11
50,5,2.212367855615203e-12,2.244306930299781e-13
60,6,6.53288083345945e-15,6.627193435369536e-16
70,7,1.936625960103863e-17,1.964584258728957e-18
80,8,6.984580785632317e-20,7.085414400072418e-21
90,9,2.294505077009593e-21,2.327629934086479e-22
100,10,3.893184879154265e-22,3.949389240603731e-23
