step,time,energy,E_over_E0
0,0,9.857688472760223,1
10,0.5,9.857688472760181,0.9999999999999957
20,1,9.857688472760145,0.9999999999999921
30,1.5,9.857688472760104,0.9999999999999879
40,2,9.857688472760055,0.9999999999999829
50,2.5,9.857688472760017,0.9999999999999791
60,3,9.857688472759978,0.9999999999999751
70,3.5,9.85768847275995,0.9999999999999722
80,4,9.857688472759911,0.9999999999999682
90,4.5,9.857688472759875,0.9999999999999647
100,5,9.857688472759845,0.9999999999999616
110,5.5,9.857688472759802,0.9999999999999573
120,6,9.857688472759587,0.9999999999999355
130,6.5,9.857688472759536,0.9999999999999303
140,7,9.857688472759504,0.9999999999999271
150,7.5,9.85768847275947,0.9999999999999236
160,8,9.857688472759424,0.999999999999919
170,8.5,9.857688472759396,0.9999999999999161
180,9,9.857688472759349,0.9999999999999113
190,9.5,9.85768847275931,0.9999999999999074
200,10,9.857688472759149,0.999999999999891
