step,time,energy,E_over_E0
0,0,2.466656848314646,1
10,0.25,2.466656848314644,0.9999999999999991
20,0.5,2.466656848314646,0.9999999999999997
30,0.75,2.466656848314642,0.9999999999999982
40,1,2.466656848314639,0.9999999999999971
50,1.25,2.46665684831463,0.9999999999999931
60,1.5,2.466656848314624,0.999999999999991
70,1.75,2.466656848314621,0.9999999999999896
80,2,2.46665684831462,0.9999999999999893
90,2.25,2.466656848314613,0.9999999999999863
100,2.5,2.466656848314615,0.999999999999987
110,2.75,2.466656848314615,0.9999999999999873
120,3,2.466656848314607,0.9999999999999838
130,3.25,2.466656848314599,0.9999999999999806
140,3.5,2.466656848314595,0.9999999999999791
150,3.75,2.466656848314593,0.9999999999999784
160,4,2.466656848314593,0.9999999999999784
170,4.25,2.466656848314587,0.9999999999999759
180,4.5,2.466656848314586,0.9999999999999755
190,4.75,2.466656848314587,0.9999999999999759
200,5,2.466656848314584,0.9999999999999748
210,5.25,2.466656848314579,0.9999999999999728
220,5.5,2.466656848314577,0.9999999999999717
230,5.75,2.466656848314567,0.9999999999999679
240,6,2.46665684831457,0.9999999999999688
250,6.25,2.466656848314576,0.9999999999999716
260,6.5,2.466656848314571,0.9999999999999696
270,6.75,2.46665684831457,0.999999999999969
280,7,2.466656848314571,0.9999999999999694
290,7.25,2.466656848314562,0.9999999999999658
300,7.5,2.46665684831456,0.9999999999999649
310,7.75,2.466656848314554,0.9999999999999626
320,8,2.466656848314552,0.9999999999999618
330,8.25,2.466656848314561,0.9999999999999653
340,8.5,2.46665684831455,0.9999999999999609
350,8.75,2.466656848314555,0.9999999999999629
360,9,2.466656848314554,0.9999999999999626
370,9.25,2.466656848314552,0.9999999999999618
380,9.5,2.466656848314548,0.99999999999996
390,9.75,2.466656848314553,0.999999999999962
400,10,2.466656848314542,0.9999999999999577
