step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,1,2.450576852367033e-05,6.237384315241903e-07
20,2,1.533381024059311e-11,3.902871578795372e-13
30,3,7.613228721170226e-15,1.937773686546847e-16
40,4,1.247767341126062e-15,3.175907107378949e-17
50,5,2.057325982575543e-16,5.236453940492202e-18
60,6,3.393865424600883e-17,8.638310178683106e-19
70,7,5.599082002099298e-18,1.425118588952408e-19
80,8,9.237544134321897e-19,2.351206118637758e-20
90,9,1.524058677411212e-19,3.879143672156601e-21
100,10,2.518477896079537e-20,6.410210931404477e-22
