step,time,energy,E_over_E0
0,0,9.857688472760223,1
10,0.25,7.728841177295761,0.7840419382954623
20,0.5,6.059738702250798,0.6147220739421508
30,0.75,4.751091696605124,0.4819681317515589
40,1,3.725057039412581,0.3778834206118444
50,1.25,2.920602428462362,0.2962766003949983
60,1.5,2.289875954896139,0.232293398317847
70,1.75,1.795359696247118,0.1821278590014526
80,2,1.40763801288958,0.1427959522944258
90,2.25,1.103647797973862,0.1119580722218576
100,2.5,0.8653065992963624,0.08777986864643435
110,2.75,0.6784370087640971,0.06882313339875
120,3,0.5319233381964242,0.05396025038387949
130,3.25,0.4170504174494416,0.04230712084297228
140,3.5,0.3269851841519203,0.03317057391856918
150,3.75,0.2563702281101072,0.02600713431130795
160,4,0.2010051129127912,0.02039069437710769
170,4.25,0.1575965185776356,0.01598716768267961
180,4.5,0.1235623428075743,0.012534616319943
190,4.75,0.09687810808196548,0.009827669879167821
200,5,0.07595653831331789,0.007705309264256909
210,5.25,0.05955314184774321,0.006041288686724739
220,5.5,0.04669218453993237,0.00473662610346807
230,5.75,0.03660864950982155,0.003713715402042002
240,6,0.02870273113454017,0.002911710104641113
250,6.25,0.02250415641148898,0.002282903996578384
260,6.5,0.0176442113964477,0.001789893385777406
270,6.75,0.01383380874672153,0.001403352194071514
280,7,0.01084629174640279,0.001100287534585251
290,7.25,0.008503951934141359,0.0008626720105469302
300,7.5,0.006667458352506875,0.0006763713796526519
310,7.75,0.005227569631949577,0.0005303037975276795
320,8,0.004098635913735944,0.0004157806290046308
330,8.25,0.003213504082417994,0.0003259896162571863
340,8.5,0.002519523252389423,0.0002555896607355394
350,8.75,0.001975412900227965,0.0002003931150478764
360,9,0.001548807347856347,0.0001571166863444884
370,9.25,0.001214330533380023,0.0001231861340247854
380,9.5,0.0009520865499145874,9.658314447098736e-05
390,9.75,0.0007464761641196549,7.572527435639647e-05
400,10,0.0005852689166237639,5.937182111618145e-05
