step,time,energy,E_over_E0
0,0,9.857688472760223,1
10,0.25,6.086030137955726,0.6173891734125367
20,0.5,3.757451029524439,0.38116958553797
30,0.75,2.319810766564865,0.2353300951815636
40,1,1.432226780983815,0.1452903269302424
50,1.25,0.8842417587427386,0.08970072052755229
60,1.5,0.5459215665343523,0.05538028190309512
70,1.75,0.3370462363504266,0.03419120387926514
80,2,0.2080888032312351,0.02110928985088618
90,2.25,0.1284718396477968,0.01303265364926101
100,2.5,0.07931716327949954,0.008046223361458101
110,2.75,0.0489695828126214,0.004967653720031748
120,3,0.03023330565162481,0.003066977185895921
130,3.25,0.01866572509153463,0.001893519473973405
140,3.5,0.01152402245420148,0.001169039018228852
150,3.75,0.007114810320749874,0.00072175240071851
160,4,0.004392609099964116,0.0004456023450225907
170,4.25,0.002711950682499002,0.0002751102035728703
180,4.5,0.00167432984292229,0.0001698501476841118
190,4.75,0.001033713644210546,0.0001048636956896142
200,5,0.0006382039373875816,6.474174337636376e-05
210,5.25,0.0003940204020556671,3.99708717864705e-05
220,5.5,0.0002432640542363703,2.467759606205679e-05
230,5.75,0.0001501886698655255,1.523568839495611e-05
240,6,9.272490597631489e-05,9.406353855931018e-06
250,6.25,5.724738221763215e-05,5.807383990255321e-06
260,6.5,3.534393199294953e-05,3.58541782798427e-06
270,6.75,2.182097207559956e-05,2.213599276939773e-06
280,7,1.347203877718616e-05,1.366652924203628e-06
290,7.25,8.317495123313438e-06,8.437571491833196e-07
300,7.5,5.135134056213429e-06,5.209267943903236e-07
310,7.75,3.170377786422648e-06,3.216147269396229e-07
320,8,1.957357918921632e-06,1.985615516589315e-07
330,8.25,1.20845220394078e-06,1.225898147704809e-07
340,8.5,7.460856879274278e-07,7.568566302222762e-08
350,8.75,4.606254612590362e-07,4.67275327813294e-08
360,9,2.84385318000777e-07,2.884908757125159e-08
370,9.25,1.755765061302589e-07,1.781112343075457e-08
380,9.5,1.083990894301023e-07,1.099640039646636e-08
390,9.75,6.692445848878735e-08,6.789062027443846e-09
400,10,4.131845729468393e-08,4.191495542678117e-09
