step,time,energy,E_over_E0
0,0,2.466656848314646,1
10,1,0.4069393262796026,0.1649760592186325
20,2,0.06713525461033117,0.02721710344760829
30,3,0.01107571109629819,0.00449017101988293
40,4,0.001827227393426598,0.0007407708107737233
50,5,0.0003014488115715203,0.0001222094641082672
60,6,4.973184307809111e-05,2.016163825627817e-05
70,7,8.204564493222797e-06,3.326188034151811e-06
80,8,1.353556883418771e-06,5.487414612792996e-07
90,9,2.233045078948072e-07,9.052921489561101e-08
100,10,3.683990222870772e-08,1.493515494620937e-08
