step,time,energy,E_over_E0
0,0,2.466656848314646,1
10,0.5,1.93437999822005,0.7842112288710623
20,1,1.516962701228226,0.6149873267798466
30,1.5,1.189619329727254,0.4822800263198615
40,2,0.9329129506712995,0.378209458404689
50,2.5,0.731600901046125,0.2965961404586918
60,3,0.5737297118947692,0.2325940522642103
70,3.5,0.4499253374895965,0.1824028898859644
80,4,0.3528365450110475,0.1430424119399196
90,4.5,0.2766984144301818,0.112175479381835
100,5,0.2169900301732651,0.08796928130539293
110,5.5,0.1701660390485385,0.06898650664149135
120,6,0.1334461349323164,0.05409999977236153
130,6.5,0.1046499702757644,0.04242583249764432
140,7,0.08206769183890569,0.03327081831223454
150,7.5,0.06435841334706427,0.02609135250857347
160,8,0.05047059659825832,0.02046113411873344
170,8.5,0.0395796134259472,0.01604585309585731
180,9,0.03103878108311241,0.01258333971517756
190,9.5,0.0243409636359359,0.00986799750949021
200,10,0.01908845934186218,0.007738595400857824
