step,time,energy,E_over_E0
0,0,9.857688472760223,1
10,0.5,3.884172787329592,0.3940247044794261
20,1,1.530460814065103,0.1552555468043273
30,1.5,0.6030396770934203,0.06117455210314279
40,2,0.2376126515692999,0.02410429709012367
50,2.5,0.09362530249816535,0.009497693374758229
60,3,0.036890700937247,0.003742327731210737
70,3.5,0.01453585493817308,0.001474570329376917
80,4,0.005727488863548906,0.0005810174341962308
90,4.5,0.002256773256354161,0.0002289353394145401
100,5,0.0008892248683618211,9.020622540659695e-05
110,5.5,0.0003503767444588548,3.554349941439637e-05
120,6,0.0001380571635275554,1.40050239880322e-05
130,6.5,5.439796077839958e-05,5.51832824994598e-06
140,7,2.143415134402249e-05,2.17435876607904e-06
150,7.5,8.445589454775719e-06,8.567515070204784e-07
160,8,3.32777258639537e-06,3.375814315486854e-07
170,8.5,1.311225279173517e-06,1.330154916943084e-07
180,9,5.166554171048968e-07,5.241141658438204e-08
190,9.5,2.035751022217129e-07,2.065140349933481e-08
200,10,8.021366064767679e-08,8.137167335864934e-09
