step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,1,0.008544477750721268,0.0002174801881965219
20,2,1.858260088076075e-06,4.729777119950435e-08
30,3,4.042536754447921e-10,1.028935506414628e-11
40,4,1.300810137266071e-13,3.310915444032704e-15
50,5,1.623735183680068e-14,4.132847479159815e-16
60,6,6.34882444703416e-15,1.615948424058e-16
70,7,2.49819713909183e-15,6.358590891243659e-17
80,8,9.845046453405306e-16,2.505831974703601e-17
90,9,3.88153234292473e-16,9.879555065362523e-18
100,10,1.530545660827927e-16,3.895654808535598e-18
