step,time,energy,E_over_E0
0,0,39.28853391923779,1
10,0.5,39.28853391923788,1.000000000000002
20,1,39.28853391923772,0.9999999999999982
30,1.5,39.2885339192376,0.9999999999999951
40,2,39.2885339192374,0.99999999999999
50,2.5,39.28853391923727,0.9999999999999866
60,3,39.28853391923706,0.9999999999999813
70,3.5,39.28853391923697,0.999999999999979
80,4,39.28853391923685,0.9999999999999761
90,4.5,39.28853391923673,0.9999999999999729
100,5,39.28853391923663,0.9999999999999705
110,5.5,39.28853391923653,0.9999999999999678
120,6,39.28853391923641,0.9999999999999647
130,6.5,39.28853391923633,0.9999999999999627
140,7,39.28853391923619,0.9999999999999591
150,7.5,39.28853391923604,0.9999999999999555
160,8,39.28853391923596,0.9999999999999534
170,8.5,39.28853391923582,0.9999999999999497
180,9,39.28853391923572,0.9999999999999472
190,9.5,39.2885339192356,0.9999999999999443
200,10,39.28853391923546,0.9999999999999407
