mesh,degree,m,n,theta,dt,T,omega,omega_dt,E0,ET,ET_over_E0,decay_rate,energy_csv
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.1,10,4.442882938158366,0.4442882938158366,2.466656848314646,2.466656848314273,0.9999999999998485,1.515454428613454e-14,"../results/dissipation/energy/energy_m1_n1_th0p5_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.05,10,4.442882938158366,0.2221441469079183,2.466656848314646,2.466656848314424,0.99999999999991,9.003908729710426e-15,"../results/dissipation/energy/energy_m1_n1_th0p5_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.5,0.025,10,4.442882938158366,0.1110720734539592,2.466656848314646,2.466656848314542,0.9999999999999577,4.229949723821937e-15,"../results/dissipation/energy/energy_m1_n1_th0p5_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.75,0.1,10,4.442882938158366,0.4442882938158366,2.466656848314646,0.0002242728694074642,9.092179544986145e-05,0.9305510811596147,"../results/dissipation/energy/energy_m1_n1_th0p75_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.75,0.05,10,4.442882938158366,0.2221441469079183,2.466656848314646,0.01908845934186218,0.007738595400857824,0.4861535080606061,"../results/dissipation/energy/energy_m1_n1_th0p75_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,0.75,0.025,10,4.442882938158366,0.1110720734539592,2.466656848314646,0.2110194263674532,0.0855487566142948,0.2458668812772994,"../results/dissipation/energy/energy_m1_n1_th0p75_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,1,0.1,10,4.442882938158366,0.4442882938158366,2.466656848314646,3.683990222870772e-08,1.493515494620937e-08,1.801954801062781,"../results/dissipation/energy/energy_m1_n1_th1_dt0p1_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,1,0.05,10,4.442882938158366,0.2221441469079183,2.466656848314646,0.0001610539300361586,6.529239368913409e-05,0.9636635011021882,"../results/dissipation/energy/energy_m1_n1_th1_dt0p05_T10.csv"
"../meshes/mesh-square-64.msh",1,1,1,1,0.025,10,4.442882938158366,0.1110720734539592,2.466656848314646,0.01825691333502129,0.007401480812985965,0.4906075188928353,"../results/dissipation/energy/energy_m1_n1_th1_dt0p025_T10.csv"
"../meshes/mesh-square-64.msh",1,2,2,0.5,0.1,10,8.885765876316732,0.8885765876316732,9.857688472760223,9.857688472758962,0.9999999999998721,1.278976924368262e-14,"../results/dissipation/energy/energy_m2_n2_th0p5_dt0p1_T10.csv"
